"Country"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"," 1999"," 1998"," 1997"," 1996"," 1995"," 1994"," 1993"," 1992"," 1991"," 1990"," 1989"," 1988"," 1987"," 1986"," 1985"," 1984"," 1983"," 1982"," 1981"," 1980"
"Republic of Korea","98","97","98","98","99","99","99","98","95","95","92","91","98","96","90","94","99","99","99","85","71","81","91","99","93","88","84","79","74","88","91","93","80","80","80","78","70","62",""
"Republic of Moldova","94","90","91","88","92","92","92","96","97","87","96","93","98","99","98","98","98","98","97","98","98","98","99","97","94","92","93","","","","","","","","","","","",""
"Romania","86","82","89","89","94","88","92","89","94","95","95","96","97","97","97","97","98","99","99","98","98","97","97","94","94","91","92","90","92","95","92","90","90","92","","","","",""
"Russian Federation","96","96","97","97","97","98","98","97","98","98","98","98","98","98","98","97","97","97","97","97","94","91","87","77","68","82","69","","","","","","","","","","","",""
"Rwanda","97","98","99","99","98","98","98","93","93","93","97","98","99","95","89","96","85","76","90","85","79","73","89","84","23","83","86","90","83","93","78","86","86","56","41","25","20","15",""
"Saint Kitts and Nevis","97","96","99","90","95","96","97","98","90","94","97","99","98","99","95","98","96","99","98","98","97","99","98","99","99","99","99","99","99","99","93","98","99","89","97","91","93","71","76"
"Saint Lucia","95","80","95","99","99","99","98","99","97","95","96","99","85","95","91","91","90","99","70","89","88","98","88","98","93","97","96","95","90","93","87","86","88","44","84","80","81","65","58"
"Saint Vincent and the Grenadines","99","99","99","99","97","97","96","96","99","99","99","99","99","93","99","99","99","99","99","99","99","99","99","97","99","99","99","99","92","97","97","96","95","89","90","84","99","33","26"
"Samoa","31","71","77","81","78","82","82","79","74","61","69","63","49","66","35","90","91","88","98","97","99","99","95","94","93","92","91","79","88","66","90","93","94","92","96","89","87","66","29"
"San Marino","93","91","88","87","86","88","91","94","91","92","92","92","93","96","96","96","97","97","97","97","97","97","98","98","99","99","99","99","99","99","99","99","99","99","99","99","","",""
"Sao Tome and Principe","95","95","96","96","95","97","96","96","98","99","99","98","97","97","99","94","92","90","87","80","72","73","68","79","69","60","67","87","90","62","72","72","66","48","48","48","48","48",""
"Saudi Arabia","98","97","97","97","98","98","98","98","98","98","98","96","96","96","96","95","95","97","95","93","94","92","93","96","95","94","91","91","92","96","89","89","86","81","76","67","62","53","41"
"Senegal","81","91","92","85","85","89","83","89","76","83","87","93","89","84","87","73","60","49","49","60","60","65","70","80","57","58","59","51","53","56","58","56","55","","","","","",""
"Serbia","96","95","93","95","93","97","93","94","91","97","95","93","97","98","96","89","95","93","98","92","93","94","91","90","84","83","84","","","","","","","","","","","",""
